Subject;Lextale;Num_Mistakes;Target;Outcome;Language
63;96,25;0;Non-word;Lexical;L1
63;96,25;1;Non-word;Lexical;L2
63;96,25;0;Non-word;Non-lexical;L1
63;96,25;0;Non-word;Non-lexical;L2
63;96,25;0;Word;Lexical;L1
63;96,25;0;Word;Lexical;L2
63;96,25;0;Word;Non-lexical;L1
63;96,25;0;Word;Non-lexical;L2
64;73,75;0;Non-word;Lexical;L1
64;73,75;1;Non-word;Lexical;L2
64;73,75;0;Non-word;Non-lexical;L1
64;73,75;1;Non-word;Non-lexical;L2
64;73,75;0;Word;Lexical;L1
64;73,75;0;Word;Lexical;L2
64;73,75;0;Word;Non-lexical;L1
64;73,75;0;Word;Non-lexical;L2
65;80;0;Non-word;Lexical;L1
65;80;0;Non-word;Lexical;L2
65;80;0;Non-word;Non-lexical;L1
65;80;0;Non-word;Non-lexical;L2
65;80;0;Word;Lexical;L1
65;80;1;Word;Lexical;L2
65;80;0;Word;Non-lexical;L1
65;80;0;Word;Non-lexical;L2
66;77,5;2;Non-word;Lexical;L1
66;77,5;0;Non-word;Lexical;L2
66;77,5;3;Non-word;Non-lexical;L1
66;77,5;0;Non-word;Non-lexical;L2
66;77,5;1;Word;Lexical;L1
66;77,5;0;Word;Lexical;L2
66;77,5;0;Word;Non-lexical;L1
66;77,5;0;Word;Non-lexical;L2
67;53,75;0;Non-word;Lexical;L1
67;53,75;1;Non-word;Lexical;L2
67;53,75;0;Non-word;Non-lexical;L1
67;53,75;0;Non-word;Non-lexical;L2
67;53,75;1;Word;Lexical;L1
67;53,75;1;Word;Lexical;L2
67;53,75;0;Word;Non-lexical;L2
67;53,75;0;Word;Non-lexical;L1
68;96,25;0;Non-word;Lexical;L1
68;96,25;0;Non-word;Lexical;L2
68;96,25;0;Non-word;Non-lexical;L1
68;96,25;0;Non-word;Non-lexical;L2
68;96,25;0;Word;Lexical;L1
68;96,25;0;Word;Lexical;L2
68;96,25;0;Word;Non-lexical;L1
68;96,25;0;Word;Non-lexical;L2
69;67,5;0;Non-word;Lexical;L1
69;67,5;0;Non-word;Lexical;L2
69;67,5;0;Non-word;Non-lexical;L1
69;67,5;0;Non-word;Non-lexical;L2
69;67,5;0;Word;Lexical;L2
69;67,5;0;Word;Lexical;L1
69;67,5;0;Word;Non-lexical;L1
69;67,5;0;Word;Non-lexical;L2
70;80;0;Non-word;Lexical;L1
70;80;0;Non-word;Lexical;L2
70;80;0;Non-word;Non-lexical;L1
70;80;0;Non-word;Non-lexical;L2
70;80;0;Word;Lexical;L1
70;80;2;Word;Lexical;L2
70;80;0;Word;Non-lexical;L1
70;80;0;Word;Non-lexical;L2
71;83,75;0;Non-word;Lexical;L2
71;83,75;0;Non-word;Lexical;L1
71;83,75;0;Non-word;Non-lexical;L1
71;83,75;0;Non-word;Non-lexical;L2
71;83,75;0;Word;Lexical;L1
71;83,75;0;Word;Lexical;L2
71;83,75;0;Word;Non-lexical;L1
71;83,75;0;Word;Non-lexical;L2
72;63,75;0;Non-word;Lexical;L2
72;63,75;1;Non-word;Lexical;L1
72;63,75;0;Non-word;Non-lexical;L1
72;63,75;0;Non-word;Non-lexical;L2
72;63,75;0;Word;Lexical;L1
72;63,75;1;Word;Lexical;L2
72;63,75;0;Word;Non-lexical;L2
72;63,75;0;Word;Non-lexical;L1
73;62,5;0;Non-word;Lexical;L1
73;62,5;0;Non-word;Lexical;L2
73;62,5;0;Non-word;Non-lexical;L1
73;62,5;0;Non-word;Non-lexical;L2
73;62,5;1;Word;Lexical;L2
73;62,5;0;Word;Lexical;L1
73;62,5;0;Word;Non-lexical;L2
73;62,5;0;Word;Non-lexical;L1
74;70;0;Non-word;Lexical;L1
74;70;1;Non-word;Lexical;L2
74;70;0;Non-word;Non-lexical;L1
74;70;1;Non-word;Non-lexical;L2
74;70;0;Word;Lexical;L1
74;70;0;Word;Lexical;L2
74;70;0;Word;Non-lexical;L1
74;70;0;Word;Non-lexical;L2
75;92,5;0;Non-word;Lexical;L1
75;92,5;0;Non-word;Lexical;L2
75;92,5;0;Non-word;Non-lexical;L1
75;92,5;0;Non-word;Non-lexical;L2
75;92,5;0;Word;Lexical;L1
75;92,5;0;Word;Lexical;L2
75;92,5;0;Word;Non-lexical;L1
75;92,5;0;Word;Non-lexical;L2
76;73,75;0;Non-word;Lexical;L1
76;73,75;0;Non-word;Lexical;L2
76;73,75;0;Non-word;Non-lexical;L2
76;73,75;1;Non-word;Non-lexical;L1
76;73,75;1;Word;Lexical;L2
76;73,75;0;Word;Lexical;L1
76;73,75;0;Word;Non-lexical;L1
76;73,75;0;Word;Non-lexical;L2
77;82,5;0;Non-word;Lexical;L2
77;82,5;0;Non-word;Lexical;L1
77;82,5;0;Non-word;Non-lexical;L1
77;82,5;0;Non-word;Non-lexical;L2
77;82,5;0;Word;Lexical;L1
77;82,5;0;Word;Lexical;L2
77;82,5;0;Word;Non-lexical;L1
77;82,5;0;Word;Non-lexical;L2
78;82,5;0;Non-word;Lexical;L1
78;82,5;0;Non-word;Lexical;L2
78;82,5;0;Non-word;Non-lexical;L1
78;82,5;0;Non-word;Non-lexical;L2
78;82,5;0;Word;Lexical;L1
78;82,5;0;Word;Lexical;L2
78;82,5;0;Word;Non-lexical;L1
78;82,5;0;Word;Non-lexical;L2
79;86,25;2;Non-word;Lexical;L2
79;86,25;0;Non-word;Lexical;L1
79;86,25;0;Non-word;Non-lexical;L2
79;86,25;0;Non-word;Non-lexical;L1
79;86,25;0;Word;Lexical;L1
79;86,25;0;Word;Lexical;L2
79;86,25;0;Word;Non-lexical;L1
79;86,25;0;Word;Non-lexical;L2
80;82,5;2;Non-word;Lexical;L1
80;82,5;0;Non-word;Lexical;L2
80;82,5;0;Non-word;Non-lexical;L1
80;82,5;1;Non-word;Non-lexical;L2
80;82,5;1;Word;Lexical;L1
80;82,5;1;Word;Lexical;L2
80;82,5;0;Word;Non-lexical;L1
80;82,5;0;Word;Non-lexical;L2
81;75;0;Non-word;Lexical;L1
81;75;0;Non-word;Lexical;L2
81;75;0;Non-word;Non-lexical;L1
81;75;0;Non-word;Non-lexical;L2
81;75;0;Word;Lexical;L1
81;75;0;Word;Lexical;L2
81;75;0;Word;Non-lexical;L1
81;75;0;Word;Non-lexical;L2
82;72,5;0;Non-word;Lexical;L2
82;72,5;0;Non-word;Lexical;L1
82;72,5;0;Non-word;Non-lexical;L1
82;72,5;0;Non-word;Non-lexical;L2
82;72,5;0;Word;Lexical;L1
82;72,5;0;Word;Lexical;L2
82;72,5;0;Word;Non-lexical;L1
82;72,5;0;Word;Non-lexical;L2
83;66,25;0;Non-word;Lexical;L1
83;66,25;1;Non-word;Lexical;L2
83;66,25;0;Non-word;Non-lexical;L1
83;66,25;0;Non-word;Non-lexical;L2
83;66,25;0;Word;Lexical;L1
83;66,25;1;Word;Lexical;L2
83;66,25;0;Word;Non-lexical;L1
83;66,25;0;Word;Non-lexical;L2
84;65;0;Non-word;Lexical;L1
84;65;0;Non-word;Lexical;L2
84;65;0;Non-word;Non-lexical;L1
