Subject;Lextale;Num_Mistakes;Experiment;Outcome;Language
174;82,5;0;2;Non-lexical;L2
175;86,25;2;2;Lexical;L2
175;86,25;0;2;Lexical;L1
175;86,25;0;2;Non-lexical;L2
175;86,25;0;2;Non-lexical;L1
176;82,5;2;2;Lexical;L1
176;82,5;0;2;Lexical;L2
176;82,5;0;2;Non-lexical;L1
176;82,5;1;2;Non-lexical;L2
177;75;0;2;Lexical;L1
177;75;0;2;Lexical;L2
177;75;0;2;Non-lexical;L1
177;75;0;2;Non-lexical;L2
178;72,5;0;2;Lexical;L2
178;72,5;0;2;Lexical;L1
178;72,5;0;2;Non-lexical;L1
178;72,5;0;2;Non-lexical;L2
179;66,25;0;2;Lexical;L1
179;66,25;1;2;Lexical;L2
179;66,25;0;2;Non-lexical;L1
179;66,25;0;2;Non-lexical;L2
180;65;0;2;Lexical;L1
180;65;0;2;Lexical;L2
180;65;0;2;Non-lexical;L1
180;65;0;2;Non-lexical;L2
181;83,75;1;2;Lexical;L2
181;83,75;0;2;Lexical;L1
181;83,75;0;2;Non-lexical;L1
181;83,75;1;2;Non-lexical;L2
182;88,75;1;2;Lexical;L1
182;88,75;1;2;Lexical;L2
182;88,75;1;2;Non-lexical;L1
182;88,75;0;2;Non-lexical;L2
183;66,25;0;2;Lexical;L1
183;66,25;0;2;Lexical;L2
183;66,25;0;2;Non-lexical;L1
183;66,25;0;2;Non-lexical;L2
184;55;1;2;Lexical;L1
184;55;1;2;Lexical;L2
184;55;0;2;Non-lexical;L1
184;55;0;2;Non-lexical;L2
185;66,25;0;2;Lexical;L1
185;66,25;0;2;Lexical;L2
185;66,25;0;2;Non-lexical;L1
185;66,25;0;2;Non-lexical;L2
186;77,5;0;2;Lexical;L2
186;77,5;0;2;Lexical;L1
186;77,5;0;2;Non-lexical;L1
186;77,5;0;2;Non-lexical;L2
187;87,5;0;2;Lexical;L1
187;87,5;0;2;Lexical;L2
187;87,5;0;2;Non-lexical;L1
187;87,5;0;2;Non-lexical;L2
188;85;1;2;Lexical;L1
188;85;1;2;Lexical;L2
188;85;0;2;Non-lexical;L1
188;85;0;2;Non-lexical;L2
189;91,25;0;2;Lexical;L1
189;91,25;0;2;Lexical;L2
189;91,25;0;2;Non-lexical;L1
189;91,25;0;2;Non-lexical;L2
